verse:0,prose:1
Filename,Label
english-diachronic-corpus/Early-Modern-English/Verse-corpus/shaksonn.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/dryden.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/venus_adonis.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/lucasta.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/phoenixturtle.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/Spenser.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/herrick.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/defense_of_poesie.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/parlost.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/sundrynotes.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/democ_platoniss.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/henryvaughan.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/passionatepilgrim.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/hesperides.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/lucrece.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/parregai.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/agincourt.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/loverscomplaint.txt,0
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/hooke-e3-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/memo-e3-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/thoward2-e2-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/underhill-e1-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/jopinney-e3-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/merrytal-e1-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/gpoole-1510-e1-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/knyvett-1630-e2-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/talbot-e2-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/wolsey-e1-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/turner-e1-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/penny-e3-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/stat-1640-e2-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/montague-e3-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/proposals-e3-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/fox-e3-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/stow-e2-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/chatton-e3-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/leland-e1-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/conway2-e3-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/rplumpt2-e1-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/lisle-e3-p2.txt,1
