verse:0,educ_treatise:1,history:2,travelogue:3,fiction:4,drama_comedy:5,diary_priv:6,science:7,biography:8,religious:9,letters:10,law:11
Filename,Label
english-diachronic-corpus/Early-Modern-English/Verse-corpus/shaksonn.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/dryden.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/venus_adonis.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/lucasta.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/phoenixturtle.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/Spenser.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/herrick.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/defense_of_poesie.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/parlost.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/sundrynotes.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/democ_platoniss.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/henryvaughan.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/passionatepilgrim.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/hesperides.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/lucrece.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/parregai.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/agincourt.txt,0
english-diachronic-corpus/Early-Modern-English/Verse-corpus/loverscomplaint.txt,0
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/abott-e1-p1.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/alhatton-e3-h.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/alhatton2-e3-p1.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/ambass-e1-p2.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/anhatton-e3-h.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/anhatton-e3-p1.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/anhatton-e3-p2.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/aplumpt-e1-h.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/aplumpt-e1-p1.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/apoole-e1-p2.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/armin-e2-h.txt,4
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/armin-e2-p1.txt,4
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/armin-e2-p2.txt,4
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/asch-e1-h.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/asch-e1-p1.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/asch-e1-p2.txt,1
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/aungier-e3-h.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/aungier-e3-p1.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/aungier-e3-p2.txt,10
english-diachronic-corpus/Early-Modern-English/Plaintext-prose-corpus/authnew-e2-h.txt,9
